hyperlink;postcode;Province;Region;house_is;property_subtype;price;rooms_number;area;kitchen_has;furnished;open_fire;terrace;terrace_area;garden;garden_area;land_surface;land_plot_surface;facades_number;swimming_pool_has;building_state
8059530;2000;Anvers;Flandre;0;APARTMENT;995000.0;2;2;FALSE;FALSE;FALSE;TRUE;15.0;FALSE;0.0;0.0;220.0;0.0;FALSE;NOT_SPECIFIED
8059650;8660;Fland Occidentale;Flandre;0;APARTMENT;215.0;2;-1;;FALSE;FALSE;FALSE;0.0;TRUE;;;;0.0;;
8059723;8300;Fland Occidentale;Flandre;0;APARTMENT;1755000.0;2;1;TRUE;TRUE;FALSE;TRUE;0.0;FALSE;0.0;0.0;130.0;0.0;FALSE;AS_NEW
8061619;8300;Fland Occidentale;Flandre;0;APARTMENT;1075000.0;3;3;FALSE;FALSE;FALSE;TRUE;5.0;FALSE;0.0;0.0;103.0;0.0;FALSE;GOOD
8063016;8300;Fland Occidentale;Flandre;0;DUPLEX;575000.0;2;1;TRUE;FALSE;FALSE;FALSE;0.0;FALSE;0.0;0.0;101.0;0.0;FALSE;AS_NEW
8063250;6929;Luxembourg;Wallonie;1;EXCEPTIONAL_PROPERTY;849000.0;10;538;TRUE;;;;;;;;5125.0;4.0;;AS_NEW
8063347;8370;Fland Occidentale;Flandre;0;PENTHOUSE;950000.0;4;-1;FALSE;FALSE;FALSE;TRUE;100.0;FALSE;;;;;FALSE;
8063891;8300;Fland Occidentale;Flandre;0;APARTMENT;745000.0;1;71;TRUE;TRUE;FALSE;TRUE;0.0;FALSE;0.0;0.0;71.0;0.0;FALSE;AS_NEW
8064653;2550;Anvers;Flandre;1;HOUSE;422200.0;3;182;TRUE;FALSE;FALSE;FALSE;0.0;FALSE;0.0;348.0;348.0;0.0;FALSE;AS_NEW
8064671;2550;Anvers;Flandre;1;HOUSE;424800.0;2;141;TRUE;FALSE;FALSE;FALSE;0.0;FALSE;0.0;375.0;375.0;0.0;FALSE;AS_NEW
8065256;8301;Fland Occidentale;Flandre;0;APARTMENT;240000.0;2;75;FALSE;FALSE;FALSE;TRUE;0.0;FALSE;0.0;0.0;75.0;0.0;FALSE;GOOD
8065257;8300;Fland Occidentale;Flandre;0;APARTMENT;240000.0;2;75;FALSE;FALSE;FALSE;TRUE;0.0;FALSE;0.0;0.0;75.0;0.0;FALSE;GOOD
8065382;1800;Brabant Flamand;Flandre;0;APARTMENT;239000.0;2;-1;FALSE;FALSE;FALSE;TRUE;10.0;FALSE;0.0;0.0;100.0;0.0;FALSE;
8065995;9940;Flandre Orientale;Flandre;1;VILLA;1780000.0;5;585;;;FALSE;;;;;;80000.0;4.0;FALSE;
8066008;1800;Brabant Flamand;Flandre;0;APARTMENT;328000.0;2;135;FALSE;FALSE;FALSE;TRUE;10.0;FALSE;0.0;0.0;135.0;0.0;FALSE;
8066009;1800;Brabant Flamand;Flandre;0;APARTMENT;208000.0;1;-1;FALSE;FALSE;FALSE;TRUE;10.0;FALSE;0.0;0.0;80.0;0.0;FALSE;
8066010;1800;Brabant Flamand;Flandre;0;APARTMENT;238000.0;2;2;FALSE;FALSE;FALSE;TRUE;9.0;FALSE;0.0;0.0;102.0;0.0;FALSE;
8066011;1800;Brabant Flamand;Flandre;0;APARTMENT;209000.0;1;-1;FALSE;FALSE;FALSE;TRUE;10.0;FALSE;0.0;0.0;80.0;0.0;FALSE;
8066209;6000;Luxembourg;Wallonie;1;HOUSE;159000.0;2;1;TRUE;FALSE;FALSE;FALSE;0.0;FALSE;0.0;55.0;55.0;0.0;FALSE;TO_BE_DONE_UP
8066610;2870;Anvers;Flandre;0;APARTMENT;191362.0;1;83;TRUE;FALSE;FALSE;TRUE;8.0;FALSE;0.0;0.0;83.0;0.0;FALSE;
8067494;9700;Flandre Orientale;Flandre;0;APARTMENT;269000.0;1;66;TRUE;FALSE;FALSE;TRUE;9.0;FALSE;0.0;0.0;66.0;0.0;FALSE;AS_NEW
8067551;8670;Fland Occidentale;Flandre;0;APARTMENT;219.0;2;66;;FALSE;FALSE;FALSE;0.0;FALSE;0.0;;;0.0;;
8067554;8670;Fland Occidentale;Flandre;0;APARTMENT;229.0;2;72;;FALSE;FALSE;FALSE;0.0;FALSE;0.0;;;0.0;;
8068552;4500;Liege;Wallonie;1;HOUSE;225000.0;1;1;FALSE;;;;;;;;0.0;;;AS_NEW
8068576;4130;Liege;Wallonie;0;APARTMENT;375000.0;2;-1;TRUE;TRUE;FALSE;TRUE;25.0;TRUE;1000.0;0.0;0.0;0.0;FALSE;AS_NEW
8068626;6040;Luxembourg;Wallonie;1;APARTMENT_BLOCK;139000.0;4;189;TRUE;FALSE;FALSE;FALSE;0.0;FALSE;0.0;200.0;200.0;0.0;FALSE;GOOD
8068719;8550;Fland Occidentale;Flandre;0;APARTMENT;249000.0;1;-1;FALSE;FALSE;FALSE;TRUE;4.0;FALSE;0.0;0.0;0.0;0.0;FALSE;NOT_SPECIFIED
8069185;9940;Flandre Orientale;Flandre;1;MANOR_HOUSE;1780000.0;5;585;TRUE;FALSE;FALSE;TRUE;0.0;FALSE;0.0;70302.0;70302.0;0.0;TRUE;
8069289;3800;Limbourg;Flandre;1;MIXED_USE_BUILDING;970000.0;0;-1;TRUE;FALSE;FALSE;TRUE;0.0;FALSE;0.0;2020.0;2020.0;0.0;FALSE;JUST_RENOVATED
8069674;7500;Hainaut;Wallonie;1;APARTMENT_BLOCK;139000.0;0;-1;TRUE;FALSE;FALSE;FALSE;0.0;FALSE;0.0;0.0;100.0;0.0;FALSE;TO_RENOVATE
8070952;7301;Hainaut;Wallonie;1;HOUSE;229000.0;3;2;TRUE;FALSE;FALSE;TRUE;35.0;FALSE;0.0;0.0;260.0;0.0;FALSE;GOOD
8071083;8301;Fland Occidentale;Flandre;0;APARTMENT;240000.0;2;75;FALSE;FALSE;FALSE;TRUE;0.0;FALSE;0.0;0.0;75.0;0.0;FALSE;GOOD
8071831;9080;Flandre Orientale;Flandre;0;APARTMENT;259000.0;2;111;FALSE;FALSE;FALSE;TRUE;9.0;FALSE;0.0;0.0;111.0;0.0;FALSE;GOOD
8072322;8300;Fland Occidentale;Flandre;0;APARTMENT;1695000.0;3;127;TRUE;TRUE;FALSE;TRUE;0.0;FALSE;0.0;0.0;127.0;0.0;FALSE;AS_NEW
8073393;8300;Fland Occidentale;Flandre;0;APARTMENT;2975000.0;4;1;TRUE;FALSE;FALSE;TRUE;0.0;FALSE;0.0;0.0;190.0;0.0;FALSE;JUST_RENOVATED
8074768;1780;Brabant Flamand;Flandre;1;VILLA;2200000.0;6;4;TRUE;FALSE;FALSE;TRUE;0.0;TRUE;1700.0;1961.0;1961.0;0.0;TRUE;AS_NEW
8075346;8434;Fland Occidentale;Flandre;0;APARTMENT;450000.0;2;65;FALSE;FALSE;FALSE;FALSE;0.0;FALSE;0.0;0.0;65.0;0.0;FALSE;
8076771;8550;Fland Occidentale;Flandre;0;APARTMENT;209000.0;1;-1;FALSE;FALSE;FALSE;FALSE;0.0;FALSE;0.0;0.0;0.0;0.0;FALSE;NOT_SPECIFIED
8079235;9900;Flandre Orientale;Flandre;1;VILLA;750000.0;9;-1;TRUE;FALSE;FALSE;FALSE;0.0;FALSE;0.0;4771.0;4771.0;0.0;FALSE;GOOD
8082785;9000;Flandre Orientale;Flandre;0;APARTMENT;318900.0;2;87;FALSE;FALSE;FALSE;FALSE;0.0;TRUE;132.0;0.0;87.0;0.0;FALSE;GOOD
8082787;9000;Flandre Orientale;Flandre;0;APARTMENT;296900.0;2;82;FALSE;FALSE;FALSE;FALSE;0.0;TRUE;99.0;0.0;82.0;0.0;FALSE;GOOD
