,hyperlink,postcode,Province,Region,house_is,property_subtype,price,rooms_number,area,kitchen_has,furnished,open_fire,terrace,terrace_area,garden,garden_area,land_surface,land_plot_surface,facades_number,swimming_pool_has,building_state
15506,8949564,9000,East Flanders,Flemish Region,1,HOUSE,335000.0,3,1,True,False,False,True,0.0,True,35.0,,80.0,2.0,False,
15507,8949608,9000,East Flanders,Flemish Region,0,APARTMENT,595000.0,3,7,True,False,False,True,60.0,False,,,,2.0,False,
15508,8949619,9000,East Flanders,Flemish Region,1,HOUSE,324000.0,5,173,False,False,False,True,70.0,False,0.0,196.0,196.0,0.0,False,TO_RENOVATE
15509,8949632,9190,East Flanders,Flemish Region,1,HOUSE,379000.0,3,3,True,False,False,True,18.0,True,,,,,False,
15510,8949661,9620,East Flanders,Flemish Region,0,APARTMENT,185000.0,2,96,True,False,False,True,0.0,False,,,,4.0,False,
15511,8949676,9600,East Flanders,Flemish Region,1,HOUSE,199500.0,3,1,True,False,False,False,0.0,False,0.0,326.0,326.0,0.0,False,GOOD
15512,8949692,9160,East Flanders,Flemish Region,0,APARTMENT,295000.0,2,123,True,False,False,False,0.0,True,,,,2.0,False,
15513,8949708,9300,East Flanders,Flemish Region,1,VILLA,850000.0,4,276,True,False,True,True,48.0,True,2806.0,,3585.0,4.0,False,
15514,8949714,9120,East Flanders,Flemish Region,0,APARTMENT,245000.0,2,85,True,False,True,True,7.0,False,0.0,0.0,85.0,0.0,False,TO_BE_DONE_UP
15515,8949738,9620,East Flanders,Flemish Region,1,HOUSE,425000.0,3,161,False,False,False,False,0.0,False,0.0,2950.0,2950.0,0.0,False,
15516,8949760,9240,East Flanders,Flemish Region,0,DUPLEX,209000.0,2,115,True,False,False,True,0.0,False,0.0,0.0,115.0,0.0,False,AS_NEW
15517,8949821,9900,East Flanders,Flemish Region,1,HOUSE,389000.0,4,166,True,False,False,False,0.0,True,,,1983.0,4.0,False,
15518,8949829,9000,East Flanders,Flemish Region,1,HOUSE,380000.0,3,135,True,False,False,True,0.0,True,25.0,88.0,16.0,0.0,False,GOOD
15519,8949840,9052,East Flanders,Flemish Region,1,VILLA,549000.0,4,242,True,False,False,True,12.0,True,,,1200.0,4.0,False,
15520,8949855,9620,East Flanders,Flemish Region,1,HOUSE,219000.0,2,198,False,False,False,True,6.0,True,,,245.0,2.0,False,
15521,8949856,9450,East Flanders,Flemish Region,1,HOUSE,545000.0,4,416,False,False,False,True,18.0,True,,,527.0,2.0,False,
15522,8949862,9080,East Flanders,Flemish Region,1,VILLA,695000.0,3,234,True,False,False,False,0.0,True,1000.0,,1296.0,4.0,False,
15523,8949866,9050,East Flanders,Flemish Region,0,APARTMENT,249900.0,3,2,True,False,False,False,0.0,False,0.0,0.0,102.0,0.0,False,TO_BE_DONE_UP
15524,8949867,9032,East Flanders,Flemish Region,1,BUNGALOW,319000.0,2,8,True,False,False,False,0.0,False,,,359.0,3.0,False,
15525,8949885,9620,East Flanders,Flemish Region,1,HOUSE,340000.0,3,166,True,False,False,False,0.0,True,232.0,,432.0,,False,
15526,8949888,9120,East Flanders,Flemish Region,1,HOUSE,410000.0,3,211,True,False,False,True,0.0,True,,,342.0,,False,
15527,8949902,9820,East Flanders,Flemish Region,1,HOUSE,289000.0,3,127,True,False,False,False,0.0,False,,,321.0,2.0,False,
15528,8949904,9070,East Flanders,Flemish Region,0,APARTMENT,790000.0,2,167,True,False,False,False,0.0,False,0.0,0.0,167.0,0.0,False,
15529,8949907,9300,East Flanders,Flemish Region,0,APARTMENT,249000.0,2,72,True,False,False,False,0.0,False,0.0,0.0,72.0,0.0,False,
15530,8949909,9070,East Flanders,Flemish Region,0,APARTMENT,415000.0,3,121,True,False,False,False,0.0,False,0.0,0.0,121.0,0.0,False,
15531,8949912,9100,East Flanders,Flemish Region,1,MANSION,585000.0,4,333,True,False,True,False,0.0,True,,,172.0,,False,
15532,8949932,9880,East Flanders,Flemish Region,1,HOUSE,339000.0,4,2,True,False,False,False,0.0,False,0.0,369.0,369.0,0.0,False,TO_BE_DONE_UP
15533,8949937,9300,East Flanders,Flemish Region,0,APARTMENT,295000.0,2,-1,True,False,False,True,0.0,False,0.0,0.0,0.0,0.0,False,AS_NEW
15534,8949949,9820,East Flanders,Flemish Region,1,HOUSE,359000.0,3,125,False,False,False,True,0.0,True,,,124.0,,False,
15535,8949962,9450,East Flanders,Flemish Region,0,APARTMENT,198000.0,2,114,False,False,False,False,0.0,False,,,,,False,
15536,8949978,9031,East Flanders,Flemish Region,1,HOUSE,330000.0,2,125,False,False,False,False,0.0,True,,,314.0,,False,
15537,8949982,9000,East Flanders,Flemish Region,0,APARTMENT,445000.0,3,112,True,False,False,True,12.0,True,,,,,False,
15538,8949986,9000,East Flanders,Flemish Region,0,PENTHOUSE,249000.0,1,65,False,False,False,True,0.0,False,,,,,False,
15539,8949997,9470,East Flanders,Flemish Region,0,APARTMENT,190000.0,2,93,True,False,False,True,4.0,False,0.0,0.0,93.0,0.0,False,AS_NEW
15540,8949998,9500,East Flanders,Flemish Region,1,TOWN_HOUSE,249000.0,2,1,True,False,False,False,0.0,False,0.0,293.0,293.0,0.0,False,TO_BE_DONE_UP
15541,8950006,9890,East Flanders,Flemish Region,1,VILLA,425000.0,3,1,False,False,False,True,0.0,False,,,608.0,,False,
15542,8950010,9660,East Flanders,Flemish Region,1,HOUSE,269000.0,4,211,False,False,False,False,0.0,False,,,979.0,,False,
15543,8950039,9250,East Flanders,Flemish Region,1,HOUSE,469000.0,2,175,True,False,False,True,59.0,True,,,1417.0,,False,
15544,8950086,9200,East Flanders,Flemish Region,1,HOUSE,209000.0,3,162,False,False,False,False,0.0,True,,,210.0,,False,
15545,8950093,9190,East Flanders,Flemish Region,1,HOUSE,255000.0,3,2,False,False,False,True,0.0,True,,,713.0,,False,
15546,8950100,9100,East Flanders,Flemish Region,0,APARTMENT,172000.0,3,97,False,False,False,True,0.0,False,,,,,False,
15547,8950102,9300,East Flanders,Flemish Region,0,APARTMENT,319000.0,3,1,True,False,False,True,39.0,False,0.0,0.0,140.0,0.0,False,
15548,8950106,9250,East Flanders,Flemish Region,0,APARTMENT,563500.0,3,151,True,False,False,True,45.0,True,,,,,False,
15549,8950113,9180,East Flanders,Flemish Region,0,APARTMENT,560000.0,6,115,True,False,False,True,0.0,False,,,,3.0,False,
15550,8950219,9500,East Flanders,Flemish Region,1,HOUSE,115000.0,2,81,False,False,False,False,0.0,False,0.0,54.0,54.0,0.0,False,GOOD
15551,8950221,9500,East Flanders,Flemish Region,1,HOUSE,179000.0,3,183,True,False,False,True,16.0,True,275.0,,420.0,2.0,False,
